epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,150.777,1.28633,1.20675,1.09322,0.6761,0.67532,0.7465,0.39694,1.81378,1.32364,1.27366,0.0005974,0.0005974,0.0005974
63,153.136,1.25077,1.12711,1.10692,0.67951,0.69706,0.82333,0.44896,1.78292,1.14226,1.2619,0.0005908,0.0005908,0.0005908
64,155.564,1.26152,1.14725,1.07529,0.6912,0.79999,0.84118,0.46142,1.76748,1.1355,1.25488,0.0005842,0.0005842,0.0005842
65,157.896,1.24176,1.16555,1.104,0.7312,0.76847,0.81132,0.44278,1.76455,1.1935,1.24,0.0005776,0.0005776,0.0005776
66,160.282,1.27483,1.12836,1.11457,0.85383,0.6204,0.80515,0.43479,1.77434,1.18879,1.24689,0.000571,0.000571,0.000571
67,162.645,1.23825,1.1924,1.10953,0.88821,0.72758,0.85814,0.46943,1.75802,1.10213,1.25544,0.0005644,0.0005644,0.0005644
68,165.028,1.26893,1.15432,1.09524,0.88045,0.63995,0.82255,0.45763,1.80184,1.11338,1.26551,0.0005578,0.0005578,0.0005578
69,167.365,1.23179,1.12819,1.09033,0.87773,0.62714,0.8217,0.45818,1.81404,1.16356,1.273,0.0005512,0.0005512,0.0005512
70,169.455,1.21287,1.13719,1.08215,0.91126,0.64317,0.84067,0.44339,1.83389,1.12574,1.29164,0.0005446,0.0005446,0.0005446
71,171.462,1.2577,1.04743,1.10176,0.80743,0.7247,0.84308,0.44555,1.84328,1.07706,1.29884,0.000538,0.000538,0.000538
72,173.447,1.26662,1.18111,1.08242,0.85144,0.69503,0.8414,0.44852,1.8465,1.09515,1.29675,0.0005314,0.0005314,0.0005314
73,175.452,1.19463,1.02941,1.09839,0.86813,0.69151,0.85563,0.45784,1.83414,1.05968,1.28484,0.0005248,0.0005248,0.0005248
74,177.472,1.23209,1.06008,1.0783,0.74189,0.72811,0.84416,0.45094,1.8204,1.13827,1.28468,0.0005182,0.0005182,0.0005182
75,179.493,1.19184,1.04254,1.06641,0.7914,0.69633,0.86558,0.46672,1.79963,1.04541,1.26714,0.0005116,0.0005116,0.0005116
76,181.524,1.23033,1.05697,1.05993,0.88934,0.63638,0.83149,0.46757,1.78271,1.04447,1.26605,0.000505,0.000505,0.000505
77,183.871,1.1709,1.01668,1.06069,0.88893,0.6538,0.83176,0.45056,1.80751,1.07181,1.27556,0.0004984,0.0004984,0.0004984
78,186.187,1.19447,1.0298,1.07091,0.88575,0.6125,0.84957,0.45771,1.80143,1.07224,1.28528,0.0004918,0.0004918,0.0004918
79,188.562,1.19218,0.9697,1.08004,0.94991,0.59425,0.84668,0.46099,1.81497,1.10435,1.28551,0.0004852,0.0004852,0.0004852
80,190.945,1.17141,1.03573,1.04915,0.88311,0.63098,0.8331,0.45976,1.8347,1.0909,1.29566,0.0004786,0.0004786,0.0004786
81,193.246,1.21601,1.07929,1.09785,0.78684,0.73337,0.85761,0.46787,1.81386,1.07813,1.27882,0.000472,0.000472,0.000472
82,195.637,1.1992,1.0221,1.06284,0.79081,0.6991,0.82244,0.45515,1.77772,1.13615,1.24956,0.0004654,0.0004654,0.0004654
83,198.054,1.19216,1.02313,1.07797,0.75944,0.70223,0.82042,0.44576,1.79722,1.11731,1.261,0.0004588,0.0004588,0.0004588
84,200.578,1.22114,1.04269,1.07626,0.85889,0.65711,0.78596,0.42043,1.84176,1.13964,1.2928,0.0004522,0.0004522,0.0004522
85,203.06,1.17467,0.98138,1.06893,0.80023,0.65754,0.78368,0.43653,1.83144,1.16066,1.28644,0.0004456,0.0004456,0.0004456
86,205.503,1.17293,1.00674,1.04423,0.7407,0.68104,0.80344,0.44257,1.82787,1.14398,1.28908,0.000439,0.000439,0.000439
87,207.916,1.18878,1.01568,1.0686,0.92283,0.59761,0.8543,0.46811,1.82069,1.07406,1.30162,0.0004324,0.0004324,0.0004324
